County.Code,County.Name,Test.Id,Test.Name,Grade,Students.Tested,Mean.Scale.Score,Count.Test.Grade,Pct.Test.Grade,Population,per.capita.income,median.household.income,median.family.income,Spend,ADAttend,Spend.Per.ADA
4,Butte,8,CST Mathematics,5,2103,371.1,432775,0.004859338,219309,23431,42971,54175,230359261,25674,8972
4,Butte,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,2090,365.9,431142,0.004847591,219309,23431,42971,54175,230359261,25674,8972
4,Butte,8,CST Mathematics,6,2060,355.7,436563,0.004718677,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,6,2057,360.8,434374,0.00473555,219309,23431,42971,54175,230359261,25674,8972
4,Butte,9,CST Algebra I,7,206,416.4,37803,0.005449303,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,7,2116,365.3,431187,0.004907384,219309,23431,42971,54175,230359261,25674,8972
4,Butte,8,CST Mathematics,7,1903,351.9,393811,0.004832267,219309,23431,42971,54175,230359261,25674,8972
4,Butte,11,CST Geometry,8,137,396.6,29035,0.004718443,219309,23431,42971,54175,230359261,25674,8972
4,Butte,28,CST General Mathematics,8,1054,318.8,145549,0.007241548,219309,23431,42971,54175,230359261,25674,8972
4,Butte,29,CST History - Social Science Grade 8,8,2306,347.2,459125,0.005022597,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,8,2149,359.3,435491,0.00493466,219309,23431,42971,54175,230359261,25674,8972
4,Butte,9,CST Algebra I,8,1077,353.5,276039,0.003901623,219309,23431,42971,54175,230359261,25674,8972
4,Butte,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,2144,390.4,436071,0.004916631,219309,23431,42971,54175,230359261,25674,8972
4,Butte,27,CST Integrated/Coordinated Science 4,9,18,290.5,18,1,219309,23431,42971,54175,230359261,25674,8972
4,Butte,24,CST Integrated/Coordinated Science 1,9,135,335.3,33944,0.003977139,219309,23431,42971,54175,230359261,25674,8972
4,Butte,20,CST Biology,9,638,376.4,228962,0.002786489,219309,23431,42971,54175,230359261,25674,8972
4,Butte,21,CST Chemistry,9,15,301.3,5365,0.002795899,219309,23431,42971,54175,230359261,25674,8972
4,Butte,22,CST Earth Science,9,741,346.3,133961,0.005531461,219309,23431,42971,54175,230359261,25674,8972
4,Butte,9,CST Algebra I,9,901,317,243349,0.003702501,219309,23431,42971,54175,230359261,25674,8972
4,Butte,13,CST Algebra II,9,90,389.4,32400,0.002777778,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,9,2163,358.2,463236,0.004669326,219309,23431,42971,54175,230359261,25674,8972
4,Butte,28,CST General Mathematics,9,626,301.8,45052,0.013895055,219309,23431,42971,54175,230359261,25674,8972
4,Butte,11,CST Geometry,9,669,358.1,144063,0.004643802,219309,23431,42971,54175,230359261,25674,8972
4,Butte,18,CST World History,9,54,309.5,35087,0.001539032,219309,23431,42971,54175,230359261,25674,8972
4,Butte,18,CST World History,10,2362,347.9,422893,0.005585337,219309,23431,42971,54175,230359261,25674,8972
4,Butte,15,CST Summative High School Mathematics,10,100,401.7,24757,0.004039262,219309,23431,42971,54175,230359261,25674,8972
4,Butte,11,CST Geometry,10,584,321,156167,0.003739586,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,10,2311,346.3,455362,0.005075083,219309,23431,42971,54175,230359261,25674,8972
4,Butte,13,CST Algebra II,10,649,335.6,131448,0.004937314,219309,23431,42971,54175,230359261,25674,8972
4,Butte,9,CST Algebra I,10,690,293.6,104567,0.00659864,219309,23431,42971,54175,230359261,25674,8972
4,Butte,22,CST Earth Science,10,204,336.1,30649,0.006656008,219309,23431,42971,54175,230359261,25674,8972
4,Butte,21,CST Chemistry,10,424,367.1,136209,0.003112863,219309,23431,42971,54175,230359261,25674,8972
4,Butte,20,CST Biology,10,1316,344.2,228138,0.005768438,219309,23431,42971,54175,230359261,25674,8972
4,Butte,10,CST Integrated Math 1,10,31,329.3,5965,0.005196982,219309,23431,42971,54175,230359261,25674,8972
4,Butte,24,CST Integrated/Coordinated Science 1,10,52,283,4401,0.011815496,219309,23431,42971,54175,230359261,25674,8972
4,Butte,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",10,2297,361.3,451374,0.005088906,219309,23431,42971,54175,230359261,25674,8972
4,Butte,23,CST Physics,11,175,341.4,56726,0.003085005,219309,23431,42971,54175,230359261,25674,8972
4,Butte,24,CST Integrated/Coordinated Science 1,11,86,291.9,7963,0.01079995,219309,23431,42971,54175,230359261,25674,8972
4,Butte,10,CST Integrated Math 1,11,18,306.7,6318,0.002849003,219309,23431,42971,54175,230359261,25674,8972
4,Butte,20,CST Biology,11,491,350.1,99776,0.004921023,219309,23431,42971,54175,230359261,25674,8972
4,Butte,21,CST Chemistry,11,680,345.5,133804,0.00508206,219309,23431,42971,54175,230359261,25674,8972
4,Butte,22,CST Earth Science,11,302,347.7,42331,0.007134251,219309,23431,42971,54175,230359261,25674,8972
4,Butte,9,CST Algebra I,11,447,289.4,49868,0.008963664,219309,23431,42971,54175,230359261,25674,8972
4,Butte,13,CST Algebra II,11,428,309.5,122079,0.003505926,219309,23431,42971,54175,230359261,25674,8972
4,Butte,11,CST Geometry,11,325,313.5,78308,0.004150278,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,11,2329,346.3,440115,0.005291799,219309,23431,42971,54175,230359261,25674,8972
4,Butte,19,CST U.S. History,11,2446,350.4,447386,0.005467315,219309,23431,42971,54175,230359261,25674,8972
4,Butte,15,CST Summative High School Mathematics,11,549,344.2,124304,0.004416592,219309,23431,42971,54175,230359261,25674,8972
4,Butte,18,CST World History,11,102,284.4,16163,0.00631071,219309,23431,42971,54175,230359261,25674,8972
4,Butte,10,CST Integrated Math 1,13,51,320.7,13486,0.0037817,219309,23431,42971,54175,230359261,25674,8972
4,Butte,15,CST Summative High School Mathematics,13,650,353.1,149987,0.004333709,219309,23431,42971,54175,230359261,25674,8972
4,Butte,11,CST Geometry,13,1715,340.1,407658,0.004206958,219309,23431,42971,54175,230359261,25674,8972
4,Butte,28,CST General Mathematics,13,1680,312.4,190615,0.008813577,219309,23431,42971,54175,230359261,25674,8972
4,Butte,13,CST Algebra II,13,1169,330.3,286737,0.004076907,219309,23431,42971,54175,230359261,25674,8972
4,Butte,9,CST Algebra I,13,3321,326.6,711705,0.004666259,219309,23431,42971,54175,230359261,25674,8972
4,Butte,24,CST Integrated/Coordinated Science 1,13,273,311.7,46386,0.005885396,219309,23431,42971,54175,230359261,25674,8972
4,Butte,22,CST Earth Science,13,1247,345,206991,0.006024417,219309,23431,42971,54175,230359261,25674,8972
4,Butte,21,CST Chemistry,13,1119,353.1,275452,0.004062414,219309,23431,42971,54175,230359261,25674,8972
4,Butte,20,CST Biology,13,2445,353.8,556893,0.00439043,219309,23431,42971,54175,230359261,25674,8972
4,Butte,27,CST Integrated/Coordinated Science 4,13,32,300.4,43,0.744186047,219309,23431,42971,54175,230359261,25674,8972
4,Butte,18,CST World History,13,2518,344.8,474255,0.00530938,219309,23431,42971,54175,230359261,25674,8972
4,Butte,23,CST Physics,13,186,341.5,80833,0.00230104,219309,23431,42971,54175,230359261,25674,8972
5,Calaveras,7,CST English-Language Arts,2,394,346.7,464896,0.000847501,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,8,CST Mathematics,2,393,363.2,464515,0.000846044,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,8,CST Mathematics,3,378,381.9,443961,0.000851426,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,7,CST English-Language Arts,3,375,340.3,441572,0.000849239,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,7,CST English-Language Arts,4,392,369.8,428906,0.000913953,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,8,CST Mathematics,4,392,388.2,433012,0.000905287,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,8,CST Mathematics,5,408,373.4,432775,0.000942753,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,7,CST English-Language Arts,5,406,362.9,429498,0.00094529,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,404,366.9,431142,0.000937046,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,7,CST English-Language Arts,6,426,362.3,434374,0.000980722,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,8,CST Mathematics,6,428,363.2,436563,0.000980385,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,8,CST Mathematics,7,468,377.3,393811,0.001188387,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,7,CST English-Language Arts,7,478,367.7,431187,0.001108568,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,9,CST Algebra I,8,243,391,276039,0.00088031,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,29,CST History - Social Science Grade 8,8,492,341.2,459125,0.001071604,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,28,CST General Mathematics,8,239,335.9,145549,0.001642059,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,7,CST English-Language Arts,8,480,363.5,435491,0.001102204,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,483,395.7,436071,0.001107618,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,22,CST Earth Science,9,169,331.2,133961,0.001261561,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,24,CST Integrated/Coordinated Science 1,9,135,332.2,33944,0.003977139,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,18,CST World History,9,19,296.6,35087,0.000541511,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,11,CST Geometry,9,150,357.3,144063,0.001041211,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,20,CST Biology,9,155,393,228962,0.000676968,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,13,CST Algebra II,9,11,365.5,32400,0.000339506,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,7,CST English-Language Arts,9,500,363.5,463236,0.001079363,45794,28667,55256,67253,45304073,4985,9089
5,Calaveras,28,CST General Mathematics,9,105,312.9,45052,0.00233064,45794,28667,55256,67253,45304073,4985,9089
